title,description,ingredients,calories,nutrition
Fresh Broccoli Salad,-,"['2 heads fresh broccoli', '1 red onion', '½ pound bacon', '¾ cup raisins', '¾ cup sliced almonds', '1 cup mayonnaise', '½ cup white sugar', '2 tablespoons white wine vinegar']",74,74 calories; protein 7.3g; carbohydrates 28.5g; fat 27.2g; cholesterol 18.3mg; sodium 352.9mg. 
Bodacious Broccoli Salad,-,"['8 slices bacon', '2 heads fresh broccoli, chopped', '1\u2009½ cups sharp Cheddar cheese, shredded', '½ large red onion, chopped', '¼ cup red wine vinegar', '⅛ cup white sugar', '2 teaspoons ground black pepper', '1 teaspoon salt', '⅔ cup mayonnaise', '1 teaspoon fresh lemon juice']",73,73 calories; protein 8.1g; carbohydrates 7.3g; fat 24g; cholesterol 35.4mg; sodium 542.7mg. 
Jamie's Cranberry Spinach Salad,-,"['1 tablespoon butter', '¾ cup almonds, blanched and slivered', '1 pound spinach, rinsed and torn into bite-size pieces', '1 cup dried cranberries', '2 tablespoons toasted sesame seeds', '1 tablespoon poppy seeds', '½ cup white sugar', '2 teaspoons minced onion', '¼ teaspoon paprika', '¼ cup white wine vinegar', '¼ cup cider vinegar', '½ cup vegetable oil']",38,38 calories; protein 4.9g; carbohydrates 30.4g; fat 23.5g; cholesterol 3.8mg; sodium 58.1mg. 
Pasta Salad,-,"['1 pound tri-colored spiral pasta', '6 tablespoons salad seasoning mix', '1 (16 ounce) bottle Italian-style salad dressing', '2 cups cherry tomatoes, diced', '1 green bell pepper, chopped', '1 red bell pepper, diced', '½ yellow bell pepper, chopped', '1 (2.25 ounce) can black olives, chopped']",00,00 calories; protein 7.9g; carbohydrates 39g; fat 24.8g; cholesterol 2.7mg; sodium 1904.2mg. 
Old Fashioned Potato Salad,-,"['5 potatoes', '3 eggs', '1 cup chopped celery', '½ cup chopped onion', '½ cup sweet pickle relish', '¼ teaspoon garlic salt', '¼ teaspoon celery salt', '1 tablespoon prepared mustard', 'ground black pepper to taste', '¼ cup mayonnaise']",06,06 calories; protein 5.5g; carbohydrates 30.5g; fat 7.6g; cholesterol 72.4mg; sodium 334.7mg. 
Mexican Bean Salad,-,"['1 (15 ounce) can black beans, rinsed and drained', '1 (15 ounce) can kidney beans, drained', '1 (15 ounce) can cannellini beans, drained and rinsed', '1 green bell pepper, chopped', '1 red bell pepper, chopped', '1 (10 ounce) package frozen corn kernels', '1 red onion, chopped', '½ cup olive oil', '½ cup red wine vinegar', '2 tablespoons fresh lime juice', '1 tablespoon lemon juice', '2 tablespoons white sugar', '1 tablespoon salt', '1 clove crushed garlic', '¼ cup chopped fresh cilantro', '½ tablespoon ground cumin', '½ tablespoon ground black pepper', '1 dash hot pepper sauce', '½ teaspoon chili powder']",34,34 calories; protein 11.2g; carbohydrates 41.7g; fat 14.8g; sodium 1158.8mg. 
Frog Eye Salad,-,"['1 cup white sugar', '2 tablespoons all-purpose flour', '2\u2009½ teaspoons salt', '1\u2009¾ cups unsweetened pineapple juice', '2 eggs, beaten', '1 tablespoon lemon juice', '3 quarts water', '1 tablespoon vegetable oil', '1 (16 ounce) package acini di pepe pasta', '3 (11 ounce) cans mandarin oranges, drained', '2 (20 ounce) cans pineapple tidbits, drained', '1 (20 ounce) can crushed pineapple, drained', '1 (8 ounce) container frozen whipped topping, thawed', '1 cup miniature marshmallows', '1 cup shredded coconut']",81,81 calories; protein 8.6g; carbohydrates 114.1g; fat 11g; cholesterol 37.2mg; sodium 647.7mg. 
Quinoa Salad with Crispy Tofu Cubes and Lime Vinaigrette,-,"['1 large sweet potato, cut into chunks', '2 tablespoons olive oil', 'salt and ground black pepper to taste', '2 cups chicken broth', '1 cup quinoa, rinsed', '1 (12 ounce) package extra-firm tofu, cut into 1-inch cubes', '2 tablespoons all-purpose flour', '2 tablespoons cornstarch', '2 teaspoons garlic powder', '¼ cup vegetable oil', '3 tablespoons olive oil', '2 tablespoons lime juice', '1 teaspoon Dijon mustard', '½ teaspoon garlic powder', '¼ teaspoon ground cumin', '1 avocado, diced', '2 cups mixed greens with spinach', '1 cup bite-sized broccoli florets', '½ cup diced red bell pepper', '¼ cup capers', '7 leaves fresh basil, cut into strips, or more to taste']",47,47 calories; protein 19.8g; carbohydrates 69.3g; fat 46g; cholesterol 2.5mg; sodium 896.3mg. 
Beet Salad with Goat Cheese,-,"['4 medium beets - scrubbed, trimmed and cut in half', '⅓ cup chopped walnuts', '3 tablespoons maple syrup', '1 (10 ounce) package mixed baby salad greens', '½ cup frozen orange juice concentrate', '¼ cup balsamic vinegar', '½ cup extra-virgin olive oil', '2 ounces goat cheese']",48,48 calories; protein 5.3g; carbohydrates 25g; fat 26.1g; cholesterol 7.5mg; sodium 107.5mg. 
Caesar Salad Supreme,-,"['6 cloves garlic, peeled, divided', '¾ cup mayonnaise', '5 anchovies anchovy fillets, minced', '6 tablespoons grated Parmesan cheese, divided', '1 teaspoon Worcestershire sauce', '1 teaspoon Dijon mustard', '1 tablespoon lemon juice, or more to taste', 'salt to taste', 'ground black pepper to taste', '¼ cup olive oil', '4 cups day-old bread, cubed', '1 head romaine lettuce, torn into bite-size pieces']",84,84 calories; protein 5.8g; carbohydrates 16.3g; fat 33.5g; cholesterol 17.7mg; sodium 549.1mg. 
